K_text,B_text,T_text,Anna_exit,trial_num,trial_code,cond,K_hit,B_hit,T_hit,book_move,start_shelf,mid_shelf,end_shelf,rectangle,rectangle_path,Todd_mid,Todd_final,frame_1,frame_2,frame_3,frame_4,frame_5,frame_6,frame_7,frame_8,frame_9,frame_10,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,frames.thisRepN,frames.thisTrialN,frames.thisN,frames.thisIndex,sessionInst.started,startSession.started,startSession.keys,startSession.rt,crossText.started,movingImage.started,staticImage.started,promptText3.started,rectImage.started,respText.started,keyResp.started,keyResp.keys,keyResp.rt,crossText.stopped,respText.stopped,keyResp.stopped,subject,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.75581278221216,17.75581278221216,left,37.3643245989806,,,,,,,,,,,,,S1,B-M,2023-01-25_09h13.40.729,knowing_that_K_ONLY,2022.2.5,59.71384237321834,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,9,per_9,per_K,1,1,1,switch,X-O-B,X-B-O,X-B-X,M,stimuli/blue-M.png,mB-R,m0,stimuli/m0_w0_X-O-B.png,stimuli/m0_wW-R_X-O-B.png,stimuli/m0_none_X-O-B.png,stimuli/mW-R_none_X-O-B.png,stimuli/mB-R_none_X-O-B.png,stimuli/mB-R_none_X-B-O.png,stimuli/mB-R_none_X-B-X.png,stimuli/mW-L_none_X-B-X.png,stimuli/m0_none_X-B-X.png,stimuli/m0_wW-L_X-B-X.png,0,0,0,8,,,,,,,,,55.18726561364019,61.824106837506406,62.58441278053215,62.58441278053215,62.58441278053215,63.448484239925165,63.448484239925165,right,1.2706749500357546,,,,S1,B-M,2023-01-25_09h13.40.729,knowing_that_K_ONLY,2022.2.5,59.71384237321834,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,11,mem_2,mem_K,1,1,1,no,O-B-O,O-B-X,O-X-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_O-B-O.png,stimuli/mW-R_w0_O-B-O.png,stimuli/mB-L_w0_O-B-O.png,stimuli/mB-L_w0_O-B-X.png,stimuli/mB-L_w0_O-X-X.png,stimuli/mW-L_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,1,1,10,,,,,,,,,64.7483804282383,71.4204919700278,72.16285317955771,72.16285317955771,72.16285317955771,73.04868563980563,73.04868563980563,left,0.6469728370429948,65.81170717655914,,,S1,B-M,2023-01-25_09h13.40.729,knowing_that_K_ONLY,2022.2.5,59.71384237321834,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,1,per_1,per_K,1,1,1,no,B-X-X,B-O-X,B-X-X,L,stimuli/blue-L.png,mB-M,m0,stimuli/m0_w0_B-X-X.png,stimuli/m0_wW-R_B-X-X.png,stimuli/m0_none_B-X-X.png,stimuli/mW-R_none_B-X-X.png,stimuli/mB-M_none_B-X-X.png,stimuli/mB-M_none_B-O-X.png,stimuli/mB-M_none_B-X-X.png,stimuli/mW-L_none_B-X-X.png,stimuli/m0_none_B-X-X.png,stimuli/m0_wW-L_B-X-X.png,0,2,2,0,,,,,,,,,73.7155360194156,80.38812202814734,81.12398409849266,81.12398409849266,81.12398409849266,82.01541841315338,82.01541841315338,left,0.7124691731878556,74.76999353902647,,,S1,B-M,2023-01-25_09h13.40.729,knowing_that_K_ONLY,2022.2.5,59.71384237321834,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,16,mem_7,mem_K,1,1,1,switch,B-X-O,O-X-B,O-X-X,R,stimuli/blue-R.png,mB-M,m0,stimuli/m0_w0_B-X-O.png,stimuli/mW-R_w0_B-X-O.png,stimuli/mB-M_w0_B-X-O.png,stimuli/mB-M_w0_O-X-B.png,stimuli/mB-M_w0_O-X-X.png,stimuli/mW-L_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,3,3,15,,,,,,,,,82.74873940629186,89.40041871153517,90.16392209375044,90.16392209375044,90.16392209375044,91.0486750532873,91.0486750532873,left,0.015034118026960641,83.80561577732442,,,S1,B-M,2023-01-25_09h13.40.729,knowing_that_K_ONLY,2022.2.5,59.71384237321834,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,late,13,mem_4,mem_K,1,1,1,no,B-X-O,B-X-O,X-X-O,L,stimuli/blue-L.png,mB-M,m0,stimuli/m0_w0_B-X-O.png,stimuli/mW-R_w0_B-X-O.png,stimuli/mB-M_w0_B-X-O.png,stimuli/mB-M_w0_B-X-O.png,stimuli/mB-M_w0_X-X-O.png,stimuli/mW-L_w0_X-X-O.png,stimuli/m0_wW-R_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_none_X-X-O.png,stimuli/m0_wW-L_X-X-O.png,0,4,4,12,,,,,,,,,91.08210781402886,97.75544097198872,98.49262154084863,98.49262154084863,98.49262154084863,99.38189653347945,99.38189653347945,right,2.0494331361260265,92.14231604058295,,,S1,B-M,2023-01-25_09h13.40.729,knowing_that_K_ONLY,2022.2.5,59.71384237321834,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,22,no_4,no_K,0,0,0,no,O-X-X,O-O-X,O-X-X,M,stimuli/blue-M.png,mB-M,m0,stimuli/m0_w0_O-X-X.png,stimuli/m0_wW-R_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/mW-R_none_O-X-X.png,stimuli/mB-M_none_O-X-X.png,stimuli/mB-M_none_O-O-X.png,stimuli/mB-M_none_O-X-X.png,stimuli/mW-L_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,5,5,21,,,,,,,,,101.44850252568722,108.12363602768164,108.8601053772145,108.8601053772145,108.8601053772145,109.74845292960526,109.74845292960526,right,0.5706837400794029,102.51062594359973,,,S1,B-M,2023-01-25_09h13.40.729,knowing_that_K_ONLY,2022.2.5,59.71384237321834,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,20,no_2,no_K,0,0,0,no,X-O-X,O-O-X,X-O-X,L,stimuli/blue-L.png,mB-L,m0,stimuli/m0_w0_X-O-X.png,stimuli/m0_wW-R_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/mW-R_none_X-O-X.png,stimuli/mB-L_none_X-O-X.png,stimuli/mB-L_none_O-O-X.png,stimuli/mB-L_none_X-O-X.png,stimuli/mW-L_none_X-O-X.png,stimuli/m0_none_X-O-X.png,stimuli/m0_wW-L_X-O-X.png,0,6,6,19,,,,,,,,,110.34847179282224,117.02387669374002,117.76034540170804,117.76034540170804,117.76034540170804,118.64875069854315,118.64875069854315,right,1.4940850685816258,111.41069915069966,,,S1,B-M,2023-01-25_09h13.40.729,knowing_that_K_ONLY,2022.2.5,59.71384237321834,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,25,no_7,no_K,0,0,0,hide,B-X-X,B-O-O,O-X-X,M,stimuli/blue-M.png,mB-L,m0,stimuli/m0_w0_B-X-X.png,stimuli/m0_wW-R_B-X-X.png,stimuli/m0_none_B-X-X.png,stimuli/mW-R_none_B-X-X.png,stimuli/mB-L_none_B-X-X.png,stimuli/mB-L_none_B-O-O.png,stimuli/mB-L_none_O-X-X.png,stimuli/mW-L_none_O-X-X.png,stimuli/m0_none_O-X-X.png,stimuli/m0_wW-L_O-X-X.png,0,7,7,24,,,,,,,,,120.16520466242218,126.84129800571827,127.57960106275277,127.57960106275277,127.57960106275277,128.46531643002527,128.46531643002527,right,1.5498411969747394,121.21828305179952,,,S1,B-M,2023-01-25_09h13.40.729,knowing_that_K_ONLY,2022.2.5,59.71384237321834,
Does Anna know that the book is here?,Does Anna think that the book is here?,Is the book here?,early,24,no_6,no_K,0,0,0,no,X-X-X,X-X-O,X-X-X,R,stimuli/blue-R.png,mB-R,m0,stimuli/m0_w0_X-X-X.png,stimuli/m0_wW-R_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/mW-R_none_X-X-X.png,stimuli/mB-R_none_X-X-X.png,stimuli/mB-R_none_X-X-O.png,stimuli/mB-R_none_X-X-X.png,stimuli/mW-L_none_X-X-X.png,stimuli/m0_none_X-X-X.png,stimuli/m0_wW-L_X-X-X.png,0,8,8,23,,,,,,,,,130.0318852091441,136.70380041975295,137.4448335066554,137.4448335066554,137.4448335066554,138.3319591220352,138.3319591220352,right,0.25221693253843114,131.0862625281443,,,S1,B-M,2023-01-25_09h13.40.729,knowing_that_K_ONLY,2022.2.5,59.71384237321834,
